,pid,age,hh_income,sex,employment,day,hh_zone,access_egress_distance,vehicles
29,nts202300000804,48-54,>68887,male,ft-employed,friday,suburban,9.15862-15.8,2
30,nts202300000805,48-54,>68887,male,ft-employed,saturday,suburban,9.15862-15.8,2
31,nts202300000806,48-54,>68887,male,ft-employed,sunday,suburban,9.15862-15.8,2
32,nts202300000901,48-54,>68887,female,ft-employed,tuesday,suburban,9.15862-15.8,2
33,nts202300000903,48-54,>68887,female,ft-employed,thursday,suburban,9.15862-15.8,2
34,nts202300000904,48-54,>68887,female,ft-employed,friday,suburban,9.15862-15.8,2
35,nts202300000905,48-54,>68887,female,ft-employed,saturday,suburban,9.15862-15.8,2
36,nts202300000906,48-54,>68887,female,ft-employed,sunday,suburban,9.15862-15.8,2
37,nts202300001001,21-32,>68887,female,student,tuesday,suburban,9.15862-15.8,2
38,nts202300001002,21-32,>68887,female,student,wednesday,suburban,9.15862-15.8,2
39,nts202300001003,21-32,>68887,female,student,thursday,suburban,9.15862-15.8,2
40,nts202300001004,21-32,>68887,female,student,friday,suburban,9.15862-15.8,2
41,nts202300001005,21-32,>68887,female,student,saturday,suburban,9.15862-15.8,2
42,nts202300001101,21-32,>68887,female,student,tuesday,suburban,9.15862-15.8,2
43,nts202300001102,21-32,>68887,female,student,wednesday,suburban,9.15862-15.8,2
44,nts202300001103,21-32,>68887,female,student,thursday,suburban,9.15862-15.8,2
45,nts202300001104,21-32,>68887,female,student,friday,suburban,9.15862-15.8,2
46,nts202300001105,21-32,>68887,female,student,saturday,suburban,9.15862-15.8,2
47,nts202300001201,>75,22316-32118,male,retired,wednesday,suburban,3.376-5.8,1
48,nts202300001202,>75,22316-32118,male,retired,thursday,suburban,3.376-5.8,1
49,nts202300001203,>75,22316-32118,male,retired,friday,suburban,3.376-5.8,1
50,nts202300001204,>75,22316-32118,male,retired,saturday,suburban,3.376-5.8,1
51,nts202300001301,>75,22316-32118,female,retired,wednesday,suburban,3.376-5.8,1
52,nts202300001302,>75,22316-32118,female,retired,thursday,suburban,3.376-5.8,1
53,nts202300001303,>75,22316-32118,female,retired,friday,suburban,3.376-5.8,1
54,nts202300001304,>75,22316-32118,female,retired,saturday,suburban,3.376-5.8,1
55,nts202300001401,>75,22316-32118,female,retired,monday,suburban,3.376-5.8,0
56,nts202300001402,>75,22316-32118,female,retired,tuesday,suburban,3.376-5.8,0
57,nts202300001502,61-68,>68887,female,retired,sunday,suburban,>15.8,1
58,nts202300001503,61-68,>68887,female,retired,monday,suburban,>15.8,1
59,nts202300001504,61-68,>68887,female,retired,tuesday,suburban,>15.8,1
60,nts202300001601,68-75,32118-44107,male,retired,saturday,suburban,>15.8,1
61,nts202300001602,68-75,32118-44107,male,retired,sunday,suburban,>15.8,1
62,nts202300001603,68-75,32118-44107,male,retired,monday,suburban,>15.8,1
63,nts202300001604,68-75,32118-44107,male,retired,tuesday,suburban,>15.8,1
64,nts202300001605,68-75,32118-44107,male,retired,wednesday,suburban,>15.8,1
65,nts202300001701,61-68,32118-44107,female,retired,saturday,suburban,>15.8,1
66,nts202300001702,61-68,32118-44107,female,retired,sunday,suburban,>15.8,1
67,nts202300001703,61-68,32118-44107,female,retired,monday,suburban,>15.8,1
68,nts202300001704,61-68,32118-44107,female,retired,tuesday,suburban,>15.8,1
69,nts202300001705,61-68,32118-44107,female,retired,wednesday,suburban,>15.8,1
70,nts202300001801,54-61,22316-32118,female,other,tuesday,suburban,≤3.376,1
71,nts202300001802,54-61,22316-32118,female,other,wednesday,suburban,≤3.376,1
72,nts202300001803,54-61,22316-32118,female,other,thursday,suburban,≤3.376,1
73,nts202300001901,10-21,22316-32118,female,student,tuesday,suburban,5.8-9.15862,1
74,nts202300001902,10-21,22316-32118,female,student,wednesday,suburban,5.8-9.15862,1
75,nts202300001903,10-21,22316-32118,female,student,thursday,suburban,5.8-9.15862,1
76,nts202300001904,10-21,22316-32118,female,student,friday,suburban,5.8-9.15862,1
77,nts202300002001,10-21,22316-32118,female,ft-employed,tuesday,suburban,>15.8,1
78,nts202300002002,10-21,22316-32118,female,ft-employed,wednesday,suburban,>15.8,1
79,nts202300002003,10-21,22316-32118,female,ft-employed,thursday,suburban,>15.8,1
80,nts202300002004,10-21,22316-32118,female,ft-employed,friday,suburban,>15.8,1
81,nts202300002005,10-21,22316-32118,female,ft-employed,saturday,suburban,>15.8,1
82,nts202300002006,10-21,22316-32118,female,ft-employed,sunday,suburban,>15.8,1
83,nts202300002101,32-40,≤22316,male,other,friday,suburban,≤3.376,0
84,nts202300002102,32-40,≤22316,male,other,saturday,suburban,≤3.376,0
85,nts202300002103,32-40,≤22316,male,other,sunday,suburban,≤3.376,0
86,nts202300002104,32-40,≤22316,male,other,monday,suburban,≤3.376,0
87,nts202300002201,68-75,≤22316,male,retired,wednesday,suburban,≤3.376,0
88,nts202300002202,68-75,≤22316,male,retired,thursday,suburban,≤3.376,0
89,nts202300002203,68-75,≤22316,male,retired,friday,suburban,≤3.376,0
90,nts202300002204,68-75,≤22316,male,retired,saturday,suburban,≤3.376,0
91,nts202300002301,68-75,≤22316,female,retired,wednesday,suburban,unknown,0
92,nts202300002601,68-75,≤22316,female,retired,friday,urban,≤3.376,0
93,nts202300002602,68-75,≤22316,female,retired,saturday,urban,≤3.376,0
94,nts202300002603,68-75,≤22316,female,retired,sunday,urban,≤3.376,0
95,nts202300002604,68-75,≤22316,female,retired,monday,urban,≤3.376,0
96,nts202300002605,68-75,≤22316,female,retired,tuesday,urban,≤3.376,0
97,nts202300002606,68-75,≤22316,female,retired,wednesday,urban,≤3.376,0
98,nts202300002801,>75,≤22316,male,retired,saturday,urban,3.376-5.8,1
99,nts202300002802,>75,≤22316,male,retired,sunday,urban,3.376-5.8,1
100,nts202300002803,>75,≤22316,male,retired,monday,urban,3.376-5.8,1
101,nts202300002804,>75,≤22316,male,retired,tuesday,urban,3.376-5.8,1
102,nts202300002805,>75,≤22316,male,retired,wednesday,urban,3.376-5.8,1
103,nts202300002806,>75,≤22316,male,retired,thursday,urban,3.376-5.8,1
104,nts202300003001,54-61,22316-32118,female,pt-employed,tuesday,urban,5.8-9.15862,1
105,nts202300003002,54-61,22316-32118,female,pt-employed,wednesday,urban,5.8-9.15862,1
106,nts202300003003,54-61,22316-32118,female,pt-employed,thursday,urban,5.8-9.15862,1
107,nts202300003004,54-61,22316-32118,female,pt-employed,friday,urban,5.8-9.15862,1
108,nts202300003101,54-61,32118-44107,female,ft-employed,friday,urban,9.15862-15.8,2
109,nts202300003102,54-61,32118-44107,female,ft-employed,saturday,urban,9.15862-15.8,2
110,nts202300003103,54-61,32118-44107,female,ft-employed,sunday,urban,9.15862-15.8,2
111,nts202300003104,54-61,32118-44107,female,ft-employed,monday,urban,9.15862-15.8,2
112,nts202300003105,54-61,32118-44107,female,ft-employed,tuesday,urban,9.15862-15.8,2
113,nts202300003106,54-61,32118-44107,female,ft-employed,wednesday,urban,9.15862-15.8,2
114,nts202300003107,54-61,32118-44107,female,ft-employed,thursday,urban,9.15862-15.8,2
115,nts202300003201,40-48,32118-44107,female,ft-employed,friday,urban,>15.8,2
116,nts202300003202,40-48,32118-44107,female,ft-employed,saturday,urban,>15.8,2
117,nts202300003203,40-48,32118-44107,female,ft-employed,sunday,urban,>15.8,2
118,nts202300003204,40-48,32118-44107,female,ft-employed,monday,urban,>15.8,2
119,nts202300003205,40-48,32118-44107,female,ft-employed,tuesday,urban,>15.8,2
120,nts202300003206,40-48,32118-44107,female,ft-employed,wednesday,urban,>15.8,2
121,nts202300003207,40-48,32118-44107,female,ft-employed,thursday,urban,>15.8,2
122,nts202300003301,54-61,32118-44107,male,ft-employed,monday,urban,>15.8,2
123,nts202300003302,54-61,32118-44107,male,ft-employed,tuesday,urban,>15.8,2
124,nts202300003303,54-61,32118-44107,male,ft-employed,wednesday,urban,>15.8,2
125,nts202300003304,54-61,32118-44107,male,ft-employed,thursday,urban,>15.8,2
126,nts202300003305,54-61,32118-44107,male,ft-employed,friday,urban,>15.8,2
127,nts202300003306,54-61,32118-44107,male,ft-employed,saturday,urban,>15.8,2
128,nts202300003307,54-61,32118-44107,male,ft-employed,sunday,urban,>15.8,2
129,nts202300003401,61-68,32118-44107,female,ft-employed,monday,urban,9.15862-15.8,2
130,nts202300003402,61-68,32118-44107,female,ft-employed,tuesday,urban,9.15862-15.8,2
131,nts202300003403,61-68,32118-44107,female,ft-employed,wednesday,urban,9.15862-15.8,2
132,nts202300003404,61-68,32118-44107,female,ft-employed,thursday,urban,9.15862-15.8,2
133,nts202300003405,61-68,32118-44107,female,ft-employed,friday,urban,9.15862-15.8,2
134,nts202300003406,61-68,32118-44107,female,ft-employed,saturday,urban,9.15862-15.8,2
135,nts202300003407,61-68,32118-44107,female,ft-employed,sunday,urban,9.15862-15.8,2
136,nts202300003501,48-54,32118-44107,female,pt-employed,wednesday,urban,9.15862-15.8,1
137,nts202300003502,48-54,32118-44107,female,pt-employed,thursday,urban,9.15862-15.8,1
138,nts202300003503,48-54,32118-44107,female,pt-employed,friday,urban,9.15862-15.8,1
139,nts202300003504,48-54,32118-44107,female,pt-employed,saturday,urban,9.15862-15.8,1
140,nts202300003601,54-61,32118-44107,male,retired,wednesday,urban,>15.8,1
141,nts202300003602,54-61,32118-44107,male,retired,thursday,urban,>15.8,1
142,nts202300003603,54-61,32118-44107,male,retired,friday,urban,>15.8,1
143,nts202300003604,54-61,32118-44107,male,retired,saturday,urban,>15.8,1
144,nts202300003605,54-61,32118-44107,male,retired,sunday,urban,>15.8,1
145,nts202300003701,10-21,32118-44107,female,unknown,wednesday,urban,>15.8,1
146,nts202300003702,10-21,32118-44107,female,unknown,thursday,urban,>15.8,1
147,nts202300003703,10-21,32118-44107,female,unknown,friday,urban,>15.8,1
148,nts202300003704,10-21,32118-44107,female,unknown,saturday,urban,>15.8,1
149,nts202300003705,10-21,32118-44107,female,unknown,sunday,urban,>15.8,1
150,nts202300003706,10-21,32118-44107,female,unknown,monday,urban,>15.8,1
151,nts202300003801,10-21,32118-44107,male,unknown,wednesday,urban,>15.8,1
152,nts202300003803,10-21,32118-44107,male,unknown,friday,urban,>15.8,1
153,nts202300003804,10-21,32118-44107,male,unknown,saturday,urban,>15.8,1
154,nts202300003805,10-21,32118-44107,male,unknown,sunday,urban,>15.8,1
155,nts202300003806,10-21,32118-44107,male,unknown,monday,urban,>15.8,1
156,nts202300003901,48-54,44107-68887,female,other,saturday,urban,9.15862-15.8,3
157,nts202300003902,48-54,44107-68887,female,other,sunday,urban,9.15862-15.8,3
158,nts202300003903,48-54,44107-68887,female,other,monday,urban,9.15862-15.8,3
159,nts202300003904,48-54,44107-68887,female,other,tuesday,urban,9.15862-15.8,3
160,nts202300003905,48-54,44107-68887,female,other,wednesday,urban,9.15862-15.8,3
161,nts202300004001,48-54,44107-68887,male,ft-employed,saturday,urban,>15.8,3
162,nts202300004002,48-54,44107-68887,male,ft-employed,sunday,urban,>15.8,3
163,nts202300004003,48-54,44107-68887,male,ft-employed,monday,urban,>15.8,3
164,nts202300004004,48-54,44107-68887,male,ft-employed,tuesday,urban,>15.8,3
165,nts202300004005,48-54,44107-68887,male,ft-employed,wednesday,urban,>15.8,3
166,nts202300004006,48-54,44107-68887,male,ft-employed,thursday,urban,>15.8,3
167,nts202300004201,10-21,44107-68887,male,student,saturday,urban,5.8-9.15862,3
168,nts202300004202,10-21,44107-68887,male,student,sunday,urban,5.8-9.15862,3
169,nts202300004203,10-21,44107-68887,male,student,monday,urban,5.8-9.15862,3
170,nts202300004204,10-21,44107-68887,male,student,tuesday,urban,5.8-9.15862,3
171,nts202300004205,10-21,44107-68887,male,student,wednesday,urban,5.8-9.15862,3
172,nts202300004206,10-21,44107-68887,male,student,thursday,urban,5.8-9.15862,3
173,nts202300004301,32-40,44107-68887,male,ft-employed,tuesday,urban,>15.8,2
174,nts202300004302,32-40,44107-68887,male,ft-employed,wednesday,urban,>15.8,2
175,nts202300004303,32-40,44107-68887,male,ft-employed,thursday,urban,>15.8,2
176,nts202300004304,32-40,44107-68887,male,ft-employed,friday,urban,>15.8,2
177,nts202300004305,32-40,44107-68887,male,ft-employed,saturday,urban,>15.8,2
178,nts202300004401,32-40,44107-68887,male,ft-employed,tuesday,urban,≤3.376,2
179,nts202300004402,32-40,44107-68887,male,ft-employed,wednesday,urban,≤3.376,2
180,nts202300004501,68-75,22316-32118,female,retired,saturday,urban,≤3.376,1
181,nts202300004803,>75,22316-32118,female,retired,wednesday,urban,>15.8,0
182,nts202300005102,54-61,44107-68887,female,ft-employed,monday,urban,>15.8,1
183,nts202300005103,54-61,44107-68887,female,ft-employed,tuesday,urban,>15.8,1
184,nts202300005104,54-61,44107-68887,female,ft-employed,wednesday,urban,>15.8,1
185,nts202300005105,54-61,44107-68887,female,ft-employed,thursday,urban,>15.8,1
186,nts202300005201,54-61,22316-32118,male,ft-employed,saturday,urban,5.8-9.15862,1
187,nts202300005202,54-61,22316-32118,male,ft-employed,sunday,urban,5.8-9.15862,1
188,nts202300005203,54-61,22316-32118,male,ft-employed,monday,urban,5.8-9.15862,1
189,nts202300005205,54-61,22316-32118,male,ft-employed,wednesday,urban,5.8-9.15862,1
190,nts202300005206,54-61,22316-32118,male,ft-employed,thursday,urban,5.8-9.15862,1
191,nts202300005207,54-61,22316-32118,male,ft-employed,friday,urban,5.8-9.15862,1
192,nts202300005302,40-48,22316-32118,female,ft-employed,sunday,urban,3.376-5.8,1
193,nts202300005303,40-48,22316-32118,female,ft-employed,monday,urban,3.376-5.8,1
194,nts202300005304,40-48,22316-32118,female,ft-employed,tuesday,urban,3.376-5.8,1
195,nts202300005305,40-48,22316-32118,female,ft-employed,wednesday,urban,3.376-5.8,1
196,nts202300005306,40-48,22316-32118,female,ft-employed,thursday,urban,3.376-5.8,1
197,nts202300005401,10-21,22316-32118,male,pt-employed,saturday,urban,≤3.376,1
198,nts202300005402,10-21,22316-32118,male,pt-employed,sunday,urban,≤3.376,1
199,nts202300005403,10-21,22316-32118,male,pt-employed,monday,urban,≤3.376,1
200,nts202300005404,10-21,22316-32118,male,pt-employed,tuesday,urban,≤3.376,1
201,nts202300005801,54-61,22316-32118,male,ft-employed,thursday,urban,≤3.376,1
202,nts202300005802,54-61,22316-32118,male,ft-employed,friday,urban,≤3.376,1
203,nts202300005803,54-61,22316-32118,male,ft-employed,saturday,urban,≤3.376,1
204,nts202300005804,54-61,22316-32118,male,ft-employed,sunday,urban,≤3.376,1
205,nts202300005805,54-61,22316-32118,male,ft-employed,monday,urban,≤3.376,1
206,nts202300005901,40-48,22316-32118,female,pt-employed,thursday,urban,5.8-9.15862,1
207,nts202300005902,40-48,22316-32118,female,pt-employed,friday,urban,5.8-9.15862,1
208,nts202300005904,40-48,22316-32118,female,pt-employed,sunday,urban,5.8-9.15862,1
209,nts202300005905,40-48,22316-32118,female,pt-employed,monday,urban,5.8-9.15862,1
210,nts202300005906,40-48,22316-32118,female,pt-employed,tuesday,urban,5.8-9.15862,1
211,nts202300006001,10-21,22316-32118,male,student,thursday,urban,≤3.376,1
212,nts202300006002,10-21,22316-32118,male,student,friday,urban,≤3.376,1
213,nts202300006003,10-21,22316-32118,male,student,saturday,urban,≤3.376,1
214,nts202300006004,10-21,22316-32118,male,student,sunday,urban,≤3.376,1
215,nts202300006101,≤10,22316-32118,male,unknown,thursday,urban,≤3.376,1
216,nts202300006102,≤10,22316-32118,male,unknown,friday,urban,≤3.376,1
217,nts202300006103,≤10,22316-32118,male,unknown,saturday,urban,≤3.376,1
218,nts202300006104,≤10,22316-32118,male,unknown,sunday,urban,≤3.376,1
219,nts202300006105,≤10,22316-32118,male,unknown,monday,urban,≤3.376,1
220,nts202300006501,61-68,32118-44107,male,retired,thursday,urban,≤3.376,1
221,nts202300006601,61-68,32118-44107,female,ft-employed,thursday,urban,5.8-9.15862,1
222,nts202300006602,61-68,32118-44107,female,ft-employed,friday,urban,5.8-9.15862,1
223,nts202300006603,61-68,32118-44107,female,ft-employed,saturday,urban,5.8-9.15862,1
224,nts202300006701,54-61,>68887,male,ft-employed,monday,urban,>15.8,2
225,nts202300006702,54-61,>68887,male,ft-employed,tuesday,urban,>15.8,2
226,nts202300006703,54-61,>68887,male,ft-employed,wednesday,urban,>15.8,2
227,nts202300006801,48-54,>68887,female,ft-employed,monday,urban,>15.8,2
228,nts202300006802,48-54,>68887,female,ft-employed,tuesday,urban,>15.8,2
229,nts202300006803,48-54,>68887,female,ft-employed,wednesday,urban,>15.8,2
230,nts202300006804,48-54,>68887,female,ft-employed,thursday,urban,>15.8,2
231,nts202300006805,48-54,>68887,female,ft-employed,friday,urban,>15.8,2
232,nts202300006806,48-54,>68887,female,ft-employed,saturday,urban,>15.8,2
233,nts202300006901,>75,32118-44107,male,retired,tuesday,urban,5.8-9.15862,1
234,nts202300006902,>75,32118-44107,male,retired,wednesday,urban,5.8-9.15862,1
235,nts202300006903,>75,32118-44107,male,retired,thursday,urban,5.8-9.15862,1
236,nts202300006904,>75,32118-44107,male,retired,friday,urban,5.8-9.15862,1
237,nts202300007001,>75,32118-44107,female,retired,tuesday,urban,9.15862-15.8,1
238,nts202300007002,>75,32118-44107,female,retired,wednesday,urban,9.15862-15.8,1
239,nts202300007003,>75,32118-44107,female,retired,thursday,urban,9.15862-15.8,1
240,nts202300007201,61-68,32118-44107,male,retired,thursday,urban,3.376-5.8,1
241,nts202300007202,61-68,32118-44107,male,retired,friday,urban,3.376-5.8,1
242,nts202300007203,61-68,32118-44107,male,retired,saturday,urban,3.376-5.8,1
243,nts202300007204,61-68,32118-44107,male,retired,sunday,urban,3.376-5.8,1
244,nts202300007205,61-68,32118-44107,male,retired,monday,urban,3.376-5.8,1
245,nts202300007301,61-68,32118-44107,female,pt-employed,thursday,urban,9.15862-15.8,1
246,nts202300007302,61-68,32118-44107,female,pt-employed,friday,urban,9.15862-15.8,1
247,nts202300008101,40-48,≤22316,male,ft-employed,wednesday,suburban,5.8-9.15862,1
248,nts202300008102,40-48,≤22316,male,ft-employed,thursday,suburban,5.8-9.15862,1
249,nts202300008103,40-48,≤22316,male,ft-employed,friday,suburban,5.8-9.15862,1
250,nts202300008104,40-48,≤22316,male,ft-employed,saturday,suburban,5.8-9.15862,1
251,nts202300008105,40-48,≤22316,male,ft-employed,sunday,suburban,5.8-9.15862,1
252,nts202300008201,32-40,≤22316,female,ft-employed,wednesday,suburban,unknown,1
253,nts202300008202,32-40,≤22316,female,ft-employed,thursday,suburban,unknown,1
254,nts202300008203,32-40,≤22316,female,ft-employed,friday,suburban,unknown,1
255,nts202300008204,32-40,≤22316,female,ft-employed,saturday,suburban,unknown,1
256,nts202300008205,32-40,≤22316,female,ft-employed,sunday,suburban,unknown,1
257,nts202300008301,48-54,≤22316,female,ft-employed,friday,suburban,≤3.376,0
258,nts202300008302,48-54,≤22316,female,ft-employed,saturday,suburban,≤3.376,0
259,nts202300008303,48-54,≤22316,female,ft-employed,sunday,suburban,≤3.376,0
260,nts202300008304,48-54,≤22316,female,ft-employed,monday,suburban,≤3.376,0
261,nts202300008305,48-54,≤22316,female,ft-employed,tuesday,suburban,≤3.376,0
262,nts202300008401,≤10,≤22316,female,unknown,friday,suburban,≤3.376,0
263,nts202300008501,≤10,≤22316,female,unknown,friday,suburban,≤3.376,0
264,nts202300008601,≤10,≤22316,male,unknown,friday,suburban,≤3.376,0
265,nts202300008701,40-48,22316-32118,female,ft-employed,tuesday,suburban,>15.8,2
266,nts202300008702,40-48,22316-32118,female,ft-employed,wednesday,suburban,>15.8,2
267,nts202300008703,40-48,22316-32118,female,ft-employed,thursday,suburban,>15.8,2
268,nts202300008704,40-48,22316-32118,female,ft-employed,friday,suburban,>15.8,2
269,nts202300008801,40-48,22316-32118,male,ft-employed,tuesday,suburban,≤3.376,2
270,nts202300008802,40-48,22316-32118,male,ft-employed,wednesday,suburban,≤3.376,2
271,nts202300008803,40-48,22316-32118,male,ft-employed,thursday,suburban,≤3.376,2
272,nts202300008804,40-48,22316-32118,male,ft-employed,friday,suburban,≤3.376,2
273,nts202300008901,≤10,22316-32118,male,unknown,tuesday,suburban,≤3.376,2
274,nts202300008902,≤10,22316-32118,male,unknown,wednesday,suburban,≤3.376,2
275,nts202300008903,≤10,22316-32118,male,unknown,thursday,suburban,≤3.376,2
276,nts202300008904,≤10,22316-32118,male,unknown,friday,suburban,≤3.376,2
277,nts202300009201,21-32,>68887,male,ft-employed,saturday,suburban,≤3.376,0
278,nts202300009202,21-32,>68887,male,ft-employed,sunday,suburban,≤3.376,0
279,nts202300009203,21-32,>68887,male,ft-employed,monday,suburban,≤3.376,0
280,nts202300009301,21-32,>68887,female,ft-employed,saturday,suburban,≤3.376,0
281,nts202300009302,21-32,>68887,female,ft-employed,sunday,suburban,≤3.376,0
282,nts202300009401,≤10,>68887,female,unknown,saturday,suburban,≤3.376,0
283,nts202300009402,≤10,>68887,female,unknown,sunday,suburban,≤3.376,0
284,nts202300009501,68-75,≤22316,male,retired,tuesday,suburban,5.8-9.15862,0
285,nts202300009506,68-75,≤22316,male,retired,sunday,suburban,5.8-9.15862,0
286,nts202300009601,40-48,32118-44107,female,other,tuesday,suburban,≤3.376,0
287,nts202300009603,40-48,32118-44107,female,other,thursday,suburban,≤3.376,0
288,nts202300009604,40-48,32118-44107,female,other,friday,suburban,≤3.376,0
289,nts202300009605,40-48,32118-44107,female,other,saturday,suburban,≤3.376,0
290,nts202300009701,10-21,32118-44107,male,unknown,tuesday,suburban,unknown,0
291,nts202300009702,10-21,32118-44107,male,unknown,wednesday,suburban,unknown,0
292,nts202300009703,10-21,32118-44107,male,unknown,thursday,suburban,unknown,0
293,nts202300009704,10-21,32118-44107,male,unknown,friday,suburban,unknown,0
294,nts202300009705,10-21,32118-44107,male,unknown,saturday,suburban,unknown,0
295,nts202300009801,≤10,32118-44107,male,unknown,tuesday,suburban,unknown,0
296,nts202300009802,≤10,32118-44107,male,unknown,wednesday,suburban,unknown,0
297,nts202300009803,≤10,32118-44107,male,unknown,thursday,suburban,unknown,0
298,nts202300009804,≤10,32118-44107,male,unknown,friday,suburban,unknown,0
299,nts202300009805,≤10,32118-44107,male,unknown,saturday,suburban,unknown,0
300,nts202300009901,68-75,22316-32118,male,retired,sunday,suburban,3.376-5.8,1
301,nts202300010001,61-68,22316-32118,female,retired,sunday,suburban,3.376-5.8,1
302,nts202300010101,32-40,32118-44107,female,ft-employed,friday,suburban,9.15862-15.8,2
303,nts202300010102,32-40,32118-44107,female,ft-employed,saturday,suburban,9.15862-15.8,2
304,nts202300010103,32-40,32118-44107,female,ft-employed,sunday,suburban,9.15862-15.8,2
305,nts202300010104,32-40,32118-44107,female,ft-employed,monday,suburban,9.15862-15.8,2
306,nts202300010105,32-40,32118-44107,female,ft-employed,tuesday,suburban,9.15862-15.8,2
307,nts202300010201,40-48,32118-44107,male,ft-employed,friday,suburban,5.8-9.15862,2
308,nts202300010202,40-48,32118-44107,male,ft-employed,saturday,suburban,5.8-9.15862,2
309,nts202300010203,40-48,32118-44107,male,ft-employed,sunday,suburban,5.8-9.15862,2
310,nts202300010204,40-48,32118-44107,male,ft-employed,monday,suburban,5.8-9.15862,2
311,nts202300010205,40-48,32118-44107,male,ft-employed,tuesday,suburban,5.8-9.15862,2
312,nts202300010206,40-48,32118-44107,male,ft-employed,wednesday,suburban,5.8-9.15862,2
313,nts202300010301,>75,44107-68887,male,retired,sunday,suburban,≤3.376,2
314,nts202300010401,32-40,44107-68887,male,ft-employed,wednesday,suburban,≤3.376,1
315,nts202300010402,32-40,44107-68887,male,ft-employed,thursday,suburban,≤3.376,1
316,nts202300010403,32-40,44107-68887,male,ft-employed,friday,suburban,≤3.376,1
317,nts202300010404,32-40,44107-68887,male,ft-employed,saturday,suburban,≤3.376,1
318,nts202300010405,32-40,44107-68887,male,ft-employed,sunday,suburban,≤3.376,1
319,nts202300010406,32-40,44107-68887,male,ft-employed,monday,suburban,≤3.376,1
320,nts202300010501,21-32,44107-68887,female,ft-employed,wednesday,suburban,≤3.376,1
321,nts202300010601,≤10,44107-68887,male,unknown,wednesday,suburban,≤3.376,1
322,nts202300010602,≤10,44107-68887,male,unknown,thursday,suburban,≤3.376,1
323,nts202300010603,≤10,44107-68887,male,unknown,friday,suburban,≤3.376,1
324,nts202300010604,≤10,44107-68887,male,unknown,saturday,suburban,≤3.376,1
325,nts202300010605,≤10,44107-68887,male,unknown,sunday,suburban,≤3.376,1
326,nts202300010606,≤10,44107-68887,male,unknown,monday,suburban,≤3.376,1
327,nts202300010701,61-68,32118-44107,male,ft-employed,saturday,suburban,≤3.376,0
328,nts202300010702,61-68,32118-44107,male,ft-employed,sunday,suburban,≤3.376,0
329,nts202300010703,61-68,32118-44107,male,ft-employed,monday,suburban,≤3.376,0
330,nts202300010801,32-40,≤22316,female,student,tuesday,suburban,≤3.376,1
331,nts202300010803,32-40,≤22316,female,student,thursday,suburban,≤3.376,1
332,nts202300010804,32-40,≤22316,female,student,friday,suburban,≤3.376,1
333,nts202300010806,32-40,≤22316,female,student,sunday,suburban,≤3.376,1
