,pid,act,start,end,duration
66,nts202300000405,home,935,1440,505
67,nts202300000406,home,0,510,510
68,nts202300000406,work,510,1110,600
69,nts202300000406,home,1110,1440,330
70,nts202300000407,home,0,316,316
71,nts202300000407,shop,316,326,10
72,nts202300000407,work,326,604,278
73,nts202300000407,escort,604,861,257
74,nts202300000407,medical,861,871,10
75,nts202300000407,home,871,1440,569
76,nts202300000801,home,0,802,802
77,nts202300000801,work,802,1196,394
78,nts202300000801,home,1196,1440,244
79,nts202300000802,home,0,590,590
80,nts202300000802,medical,590,615,25
81,nts202300000802,home,615,1440,825
82,nts202300000803,home,0,509,509
83,nts202300000803,work,509,823,314
84,nts202300000803,home,823,1440,617
85,nts202300000804,home,0,1440,1440
86,nts202300000805,home,0,485,485
87,nts202300000805,work,485,704,219
88,nts202300000805,home,704,1440,736
89,nts202300000806,home,0,468,468
90,nts202300000806,work,468,990,522
91,nts202300000806,home,990,1440,450
92,nts202300000901,home,0,454,454
93,nts202300000901,medical,454,520,66
94,nts202300000901,home,520,1440,920
95,nts202300000903,home,0,1440,1440
96,nts202300000904,home,0,621,621
97,nts202300000904,work,621,1171,550
98,nts202300000904,home,1171,1440,269
99,nts202300000905,home,0,346,346
100,nts202300000905,work,346,734,388
101,nts202300000905,medical,734,822,88
102,nts202300000905,home,822,1440,618
103,nts202300000906,home,0,539,539
104,nts202300000906,work,539,1139,600
105,nts202300000906,home,1139,1440,301
106,nts202300001001,home,0,440,440
107,nts202300001001,work,440,973,533
108,nts202300001001,home,973,1440,467
109,nts202300001002,home,0,602,602
110,nts202300001002,work,602,854,252
111,nts202300001002,home,854,1440,586
112,nts202300001003,home,0,628,628
113,nts202300001003,work,628,890,262
114,nts202300001003,escort,890,919,29
115,nts202300001003,home,919,1440,521
116,nts202300001004,home,0,450,450
117,nts202300001004,work,450,999,549
118,nts202300001004,home,999,1440,441
119,nts202300001005,home,0,477,477
120,nts202300001005,work,477,1062,585
121,nts202300001005,home,1062,1440,378
122,nts202300001101,home,0,588,588
123,nts202300001101,work,588,995,407
124,nts202300001101,home,995,1440,445
125,nts202300001102,home,0,482,482
126,nts202300001102,work,482,792,310
127,nts202300001102,home,792,1440,648
128,nts202300001103,home,0,416,416
129,nts202300001103,work,416,1016,600
130,nts202300001103,home,1016,1440,424
131,nts202300001104,home,0,446,446
132,nts202300001104,work,446,811,365
133,nts202300001104,home,811,1440,629
134,nts202300001105,home,0,1440,1440
135,nts202300001201,home,0,664,664
136,nts202300001201,escort,664,682,18
137,nts202300001201,home,682,1440,758
138,nts202300001202,home,0,1440,1440
139,nts202300001203,home,0,335,335
140,nts202300001203,work,335,562,227
141,nts202300001203,shop,562,755,193
142,nts202300001203,home,755,1440,685
143,nts202300001204,home,0,1440,1440
144,nts202300001301,home,0,525,525
145,nts202300001301,work,525,800,275
146,nts202300001301,home,800,1440,640
147,nts202300001302,home,0,256,256
148,nts202300001302,other,256,520,264
149,nts202300001302,work,520,755,235
150,nts202300001302,home,755,1440,685
151,nts202300001303,home,0,702,702
152,nts202300001303,work,702,898,196
153,nts202300001303,home,898,1440,542
154,nts202300001304,home,0,508,508
155,nts202300001304,escort,508,555,47
156,nts202300001304,work,555,672,117
157,nts202300001304,home,672,1440,768
158,nts202300001401,home,0,1440,1440
159,nts202300001402,home,0,558,558
160,nts202300001402,work,558,971,413
161,nts202300001402,home,971,1440,469
162,nts202300001502,home,0,1440,1440
163,nts202300001503,home,0,494,494
164,nts202300001503,work,494,861,367
165,nts202300001503,home,861,1440,579
166,nts202300001504,home,0,683,683
167,nts202300001504,escort,683,743,60
168,nts202300001504,work,743,928,185
169,nts202300001504,home,928,1440,512
170,nts202300001601,home,0,733,733
171,nts202300001601,work,733,910,177
172,nts202300001601,home,910,1440,530
173,nts202300001602,home,0,1440,1440
174,nts202300001603,home,0,1440,1440
175,nts202300001604,home,0,1088,1088
176,nts202300001604,work,1088,1380,292
177,nts202300001604,home,1380,1440,60
178,nts202300001605,home,0,521,521
179,nts202300001605,work,521,699,178
180,nts202300001605,home,699,1440,741
181,nts202300001701,home,0,572,572
182,nts202300001701,work,572,790,218
183,nts202300001701,home,790,1440,650
184,nts202300001702,home,0,500,500
185,nts202300001702,escort,500,527,27
186,nts202300001702,home,527,1440,913
187,nts202300001703,home,0,1440,1440
188,nts202300001704,home,0,504,504
189,nts202300001704,work,504,671,167
190,nts202300001704,home,671,1440,769
191,nts202300001705,home,0,578,578
192,nts202300001705,work,578,839,261
193,nts202300001705,home,839,1440,601
194,nts202300001801,home,0,613,613
195,nts202300001801,escort,613,660,47
196,nts202300001801,medical,660,707,47
197,nts202300001801,home,707,1440,733
198,nts202300001802,home,0,549,549
199,nts202300001802,work,549,892,343
200,nts202300001802,home,892,1440,548
201,nts202300001803,home,0,761,761
202,nts202300001803,medical,761,787,26
203,nts202300001803,home,787,1440,653
204,nts202300001901,home,0,480,480
205,nts202300001901,work,480,1080,600
206,nts202300001901,home,1080,1440,360
207,nts202300001902,home,0,457,457
208,nts202300001902,work,457,766,309
209,nts202300001902,home,766,1440,674
210,nts202300001903,home,0,541,541
211,nts202300001903,work,541,760,219
212,nts202300001903,home,760,1440,680
213,nts202300001904,home,0,1440,1440
214,nts202300002001,home,0,412,412
215,nts202300002001,work,412,749,337
216,nts202300002001,home,749,1440,691
217,nts202300002002,home,0,817,817
218,nts202300002002,work,817,1249,432
219,nts202300002002,home,1249,1440,191
220,nts202300002003,home,0,461,461
221,nts202300002003,work,461,669,208
222,nts202300002003,home,669,1440,771
223,nts202300002004,home,0,458,458
224,nts202300002004,work,458,860,402
225,nts202300002004,home,860,1440,580
226,nts202300002005,home,0,525,525
227,nts202300002005,work,525,1107,582
228,nts202300002005,home,1107,1440,333
229,nts202300002006,home,0,298,298
230,nts202300002006,work,298,795,497
231,nts202300002006,home,795,1440,645
232,nts202300002101,home,0,1440,1440
233,nts202300002102,home,0,858,858
234,nts202300002102,other,858,899,41
235,nts202300002102,home,899,1440,541
236,nts202300002103,home,0,1440,1440
237,nts202300002104,home,0,1440,1440
238,nts202300002201,home,0,1440,1440
239,nts202300002202,home,0,240,240
240,nts202300002202,medical,240,644,404
241,nts202300002202,work,644,774,130
242,nts202300002202,home,774,1440,666
243,nts202300002203,home,0,460,460
244,nts202300002203,work,460,586,126
245,nts202300002203,other,586,1005,419
246,nts202300002203,home,1005,1440,435
247,nts202300002204,home,0,522,522
248,nts202300002204,work,522,645,123
249,nts202300002204,home,645,1440,795
250,nts202300002301,home,0,678,678
251,nts202300002301,work,678,806,128
252,nts202300002301,home,806,1440,634
253,nts202300002601,home,0,470,470
254,nts202300002601,work,470,527,57
255,nts202300002601,home,527,1440,913
256,nts202300002602,home,0,588,588
257,nts202300002602,work,588,668,80
258,nts202300002602,home,668,1440,772
259,nts202300002603,home,0,622,622
260,nts202300002603,shop,622,646,24
261,nts202300002603,home,646,1440,794
262,nts202300002604,home,0,1440,1440
263,nts202300002605,home,0,690,690
264,nts202300002605,work,690,786,96
265,nts202300002605,home,786,1440,654
266,nts202300002606,home,0,406,406
267,nts202300002606,work,406,451,45
268,nts202300002606,home,451,1440,989
269,nts202300002801,home,0,1440,1440
270,nts202300002802,home,0,1440,1440
271,nts202300002803,home,0,548,548
272,nts202300002803,work,548,835,287
273,nts202300002803,home,835,1440,605
274,nts202300002804,home,0,582,582
275,nts202300002804,work,582,831,249
276,nts202300002804,home,831,1440,609
277,nts202300002805,home,0,1440,1440
278,nts202300002806,home,0,1440,1440
279,nts202300003001,home,0,1440,1440
280,nts202300003002,home,0,726,726
281,nts202300003002,medical,726,832,106
282,nts202300003002,home,832,1440,608
283,nts202300003003,home,0,569,569
284,nts202300003003,other,569,660,91
285,nts202300003003,home,660,1440,780
286,nts202300003004,home,0,551,551
287,nts202300003004,work,551,863,312
288,nts202300003004,visit,863,986,123
289,nts202300003004,home,986,1440,454
290,nts202300003101,home,0,1440,1440
291,nts202300003102,home,0,1440,1440
292,nts202300003103,home,0,467,467
293,nts202300003103,work,467,1067,600
294,nts202300003103,home,1067,1440,373
295,nts202300003104,home,0,771,771
296,nts202300003104,escort,771,840,69
297,nts202300003104,home,840,1440,600
298,nts202300003105,home,0,495,495
299,nts202300003105,other,495,671,176
300,nts202300003105,shop,671,681,10
301,nts202300003105,home,681,1440,759
302,nts202300003106,home,0,789,789
303,nts202300003106,shop,789,859,70
304,nts202300003106,medical,859,924,65
305,nts202300003106,home,924,1440,516
306,nts202300003107,home,0,381,381
307,nts202300003107,work,381,981,600
308,nts202300003107,home,981,1440,459
309,nts202300003201,home,0,483,483
310,nts202300003201,work,483,868,385
311,nts202300003201,escort,868,960,92
312,nts202300003201,home,960,1440,480
313,nts202300003202,home,0,492,492
314,nts202300003202,work,492,1092,600
315,nts202300003202,home,1092,1440,348
316,nts202300003203,home,0,377,377
317,nts202300003203,work,377,696,319
318,nts202300003203,home,696,1440,744
319,nts202300003204,home,0,1440,1440
320,nts202300003205,home,0,425,425
321,nts202300003205,work,425,1016,591
322,nts202300003205,home,1016,1440,424
323,nts202300003206,home,0,552,552
324,nts202300003206,other,552,707,155
325,nts202300003206,medical,707,728,21
326,nts202300003206,home,728,1440,712
327,nts202300003207,home,0,411,411
328,nts202300003207,work,411,758,347
329,nts202300003207,home,758,1440,682
330,nts202300003301,home,0,481,481
331,nts202300003301,work,481,975,494
332,nts202300003301,home,975,1440,465
333,nts202300003302,home,0,474,474
334,nts202300003302,work,474,1074,600
335,nts202300003302,home,1074,1440,366
336,nts202300003303,home,0,471,471
337,nts202300003303,work,471,998,527
338,nts202300003303,home,998,1440,442
339,nts202300003304,home,0,752,752
340,nts202300003304,visit,752,790,38
341,nts202300003304,home,790,1440,650
342,nts202300003305,home,0,341,341
343,nts202300003305,work,341,804,463
344,nts202300003305,home,804,1440,636
345,nts202300003306,home,0,958,958
346,nts202300003306,shop,958,1059,101
347,nts202300003306,home,1059,1440,381
348,nts202300003307,home,0,775,775
349,nts202300003307,work,775,1356,581
350,nts202300003307,home,1356,1440,84
351,nts202300003401,home,0,416,416
352,nts202300003401,work,416,1001,585
353,nts202300003401,home,1001,1440,439
354,nts202300003402,home,0,427,427
355,nts202300003402,work,427,672,245
356,nts202300003402,other,672,972,300
357,nts202300003402,escort,972,982,10
358,nts202300003402,home,982,1440,458
359,nts202300003403,home,0,428,428
360,nts202300003403,work,428,1028,600
361,nts202300003403,home,1028,1440,412
362,nts202300003404,home,0,779,779
363,nts202300003404,escort,779,874,95
364,nts202300003404,home,874,1440,566
365,nts202300003405,home,0,897,897
366,nts202300003405,escort,897,975,78
367,nts202300003405,medical,975,1024,49
368,nts202300003405,home,1024,1440,416
369,nts202300003406,home,0,519,519
370,nts202300003406,medical,519,575,56
371,nts202300003406,escort,575,602,27
372,nts202300003406,home,602,1440,838
373,nts202300003407,home,0,565,565
374,nts202300003407,work,565,825,260
375,nts202300003407,home,825,1440,615
376,nts202300003501,home,0,745,745
377,nts202300003501,medical,745,819,74
378,nts202300003501,shop,819,850,31
379,nts202300003501,home,850,1440,590
380,nts202300003502,home,0,1440,1440
381,nts202300003503,home,0,423,423
382,nts202300003503,work,423,743,320
383,nts202300003503,shop,743,828,85
384,nts202300003503,home,828,1440,612
385,nts202300003504,home,0,342,342
386,nts202300003504,work,342,701,359
387,nts202300003504,shop,701,860,159
388,nts202300003504,home,860,1440,580
389,nts202300003601,home,0,649,649
390,nts202300003601,other,649,835,186
391,nts202300003601,medical,835,845,10
392,nts202300003601,home,845,1440,595
393,nts202300003602,home,0,795,795
394,nts202300003602,shop,795,876,81
395,nts202300003602,work,876,1016,140
396,nts202300003602,home,1016,1440,424
397,nts202300003603,home,0,523,523
398,nts202300003603,medical,523,558,35
399,nts202300003603,home,558,1440,882
400,nts202300003604,home,0,1440,1440
401,nts202300003605,home,0,1156,1156
402,nts202300003605,work,1156,1295,139
403,nts202300003605,home,1295,1440,145
404,nts202300003701,home,0,551,551
405,nts202300003701,medical,551,665,114
406,nts202300003701,home,665,1440,775
407,nts202300003702,home,0,531,531
408,nts202300003702,work,531,920,389
409,nts202300003702,home,920,1440,520
410,nts202300003703,home,0,1440,1440
411,nts202300003704,home,0,461,461
412,nts202300003704,work,461,628,167
413,nts202300003704,home,628,1440,812
414,nts202300003705,home,0,480,480
415,nts202300003705,work,480,956,476
416,nts202300003705,home,956,1440,484
417,nts202300003706,home,0,1440,1440
418,nts202300003801,home,0,503,503
419,nts202300003801,work,503,954,451
420,nts202300003801,home,954,1440,486
421,nts202300003803,home,0,1440,1440
422,nts202300003804,home,0,451,451
423,nts202300003804,work,451,1051,600
424,nts202300003804,home,1051,1440,389
425,nts202300003805,home,0,478,478
426,nts202300003805,work,478,1013,535
427,nts202300003805,home,1013,1440,427
428,nts202300003806,home,0,491,491
429,nts202300003806,escort,491,501,10
430,nts202300003806,work,501,870,369
431,nts202300003806,home,870,1440,570
432,nts202300003901,home,0,551,551
433,nts202300003901,work,551,1151,600
434,nts202300003901,home,1151,1440,289
435,nts202300003902,home,0,590,590
436,nts202300003902,other,590,766,176
437,nts202300003902,medical,766,776,10
438,nts202300003902,home,776,1440,664
439,nts202300003903,home,0,1032,1032
440,nts202300003903,work,1032,1380,348
441,nts202300003903,home,1380,1440,60
442,nts202300003904,home,0,267,267
443,nts202300003904,escort,267,400,133
444,nts202300003904,work,400,631,231
445,nts202300003904,shop,631,688,57
446,nts202300003904,home,688,1440,752
447,nts202300003905,home,0,682,682
448,nts202300003905,work,682,1282,600
449,nts202300003905,home,1282,1440,158
450,nts202300004001,home,0,500,500
451,nts202300004001,work,500,664,164
452,nts202300004001,shop,664,711,47
453,nts202300004001,home,711,1440,729
454,nts202300004002,home,0,454,454
455,nts202300004002,work,454,999,545
456,nts202300004002,home,999,1440,441
457,nts202300004003,home,0,287,287
458,nts202300004003,work,287,885,598
459,nts202300004003,home,885,1440,555
460,nts202300004004,home,0,459,459
461,nts202300004004,work,459,1059,600
462,nts202300004004,home,1059,1440,381
463,nts202300004005,home,0,359,359
464,nts202300004005,work,359,959,600
465,nts202300004005,home,959,1440,481
466,nts202300004006,home,0,893,893
467,nts202300004006,visit,893,1033,140
468,nts202300004006,other,1033,1069,36
469,nts202300004006,medical,1069,1079,10
470,nts202300004006,home,1079,1440,361
471,nts202300004201,home,0,1156,1156
472,nts202300004201,escort,1156,1184,28
473,nts202300004201,medical,1184,1263,79
474,nts202300004201,home,1263,1440,177
475,nts202300004202,home,0,442,442
476,nts202300004202,work,442,741,299
477,nts202300004202,home,741,1440,699
478,nts202300004203,home,0,464,464
479,nts202300004203,escort,464,474,10
480,nts202300004203,home,474,1440,966
481,nts202300004204,home,0,539,539
482,nts202300004204,medical,539,608,69
483,nts202300004204,home,608,1440,832
484,nts202300004205,home,0,697,697
485,nts202300004205,escort,697,740,43
486,nts202300004205,home,740,1440,700
487,nts202300004206,home,0,524,524
488,nts202300004206,work,524,708,184
489,nts202300004206,home,708,1440,732
490,nts202300004301,home,0,499,499
491,nts202300004301,work,499,712,213
492,nts202300004301,home,712,1440,728
493,nts202300004302,home,0,805,805
494,nts202300004302,medical,805,852,47
495,nts202300004302,home,852,1440,588
496,nts202300004303,home,0,1440,1440
497,nts202300004304,home,0,1440,1440
498,nts202300004305,home,0,769,769
499,nts202300004305,medical,769,920,151
500,nts202300004305,home,920,1440,520
501,nts202300004401,home,0,1440,1440
502,nts202300004402,home,0,450,450
503,nts202300004402,shop,450,479,29
504,nts202300004402,work,479,922,443
505,nts202300004402,home,922,1440,518
506,nts202300004501,home,0,1440,1440
507,nts202300004803,home,0,702,702
508,nts202300004803,shop,702,850,148
509,nts202300004803,home,850,1440,590
510,nts202300005102,home,0,1440,1440
511,nts202300005103,home,0,1440,1440
512,nts202300005104,home,0,461,461
513,nts202300005104,work,461,737,276
514,nts202300005104,shop,737,850,113
515,nts202300005104,home,850,1440,590
516,nts202300005105,home,0,417,417
517,nts202300005105,work,417,763,346
518,nts202300005105,home,763,1440,677
519,nts202300005201,home,0,447,447
520,nts202300005201,work,447,947,500
521,nts202300005201,home,947,1440,493
522,nts202300005202,home,0,490,490
523,nts202300005202,work,490,1033,543
524,nts202300005202,home,1033,1440,407
525,nts202300005203,home,0,367,367
526,nts202300005203,visit,367,470,103
527,nts202300005203,work,470,901,431
528,nts202300005203,home,901,1440,539
529,nts202300005205,home,0,413,413
530,nts202300005205,work,413,1013,600
531,nts202300005205,home,1013,1440,427
532,nts202300005206,home,0,990,990
533,nts202300005206,other,990,1126,136
534,nts202300005206,medical,1126,1176,50
535,nts202300005206,home,1176,1440,264
536,nts202300005207,home,0,678,678
537,nts202300005207,visit,678,854,176
538,nts202300005207,shop,854,864,10
539,nts202300005207,medical,864,874,10
540,nts202300005207,home,874,1440,566
541,nts202300005302,home,0,808,808
542,nts202300005302,work,808,982,174
543,nts202300005302,home,982,1440,458
544,nts202300005303,home,0,458,458
545,nts202300005303,work,458,1058,600
546,nts202300005303,home,1058,1440,382
547,nts202300005304,home,0,523,523
548,nts202300005304,work,523,896,373
549,nts202300005304,escort,896,926,30
550,nts202300005304,home,926,1440,514
551,nts202300005305,home,0,326,326
552,nts202300005305,work,326,687,361
553,nts202300005305,home,687,1440,753
554,nts202300005306,home,0,343,343
555,nts202300005306,work,343,943,600
556,nts202300005306,home,943,1440,497
557,nts202300005401,home,0,497,497
558,nts202300005401,work,497,696,199
559,nts202300005401,home,696,1440,744
560,nts202300005402,home,0,580,580
561,nts202300005402,work,580,882,302
562,nts202300005402,home,882,1440,558
563,nts202300005403,home,0,1085,1085
564,nts202300005403,visit,1085,1240,155
565,nts202300005403,home,1240,1440,200
566,nts202300005404,home,0,1440,1440
567,nts202300005801,home,0,1440,1440
568,nts202300005802,home,0,424,424
569,nts202300005802,work,424,924,500
570,nts202300005802,home,924,1440,516
571,nts202300005803,home,0,1440,1440
572,nts202300005804,home,0,479,479
573,nts202300005804,work,479,778,299
574,nts202300005804,home,778,1440,662
575,nts202300005805,home,0,1440,1440
576,nts202300005901,home,0,1440,1440
577,nts202300005902,home,0,524,524
578,nts202300005902,work,524,1124,600
579,nts202300005902,home,1124,1440,316
580,nts202300005904,home,0,519,519
581,nts202300005904,work,519,1119,600
582,nts202300005904,home,1119,1440,321
583,nts202300005905,home,0,1440,1440
584,nts202300005906,home,0,710,710
585,nts202300005906,work,710,1287,577
586,nts202300005906,home,1287,1440,153
587,nts202300006001,home,0,493,493
588,nts202300006001,work,493,786,293
589,nts202300006001,home,786,1440,654
590,nts202300006002,home,0,1440,1440
591,nts202300006003,home,0,430,430
592,nts202300006003,work,430,586,156
593,nts202300006003,home,586,1440,854
594,nts202300006004,home,0,528,528
595,nts202300006004,work,528,1128,600
596,nts202300006004,home,1128,1440,312
597,nts202300006101,home,0,1440,1440
598,nts202300006102,home,0,1042,1042
599,nts202300006102,escort,1042,1064,22
600,nts202300006102,home,1064,1440,376
601,nts202300006103,home,0,490,490
602,nts202300006103,work,490,829,339
603,nts202300006103,home,829,1440,611
604,nts202300006104,home,0,464,464
605,nts202300006104,work,464,772,308
606,nts202300006104,home,772,1440,668
607,nts202300006105,home,0,1440,1440
608,nts202300006501,home,0,1440,1440
609,nts202300006601,home,0,754,754
610,nts202300006601,shop,754,846,92
611,nts202300006601,escort,846,881,35
612,nts202300006601,home,881,1440,559
613,nts202300006602,home,0,1440,1440
614,nts202300006603,home,0,401,401
615,nts202300006603,work,401,586,185
616,nts202300006603,medical,586,769,183
617,nts202300006603,home,769,1440,671
618,nts202300006701,home,0,422,422
619,nts202300006701,work,422,837,415
620,nts202300006701,home,837,1440,603
621,nts202300006702,home,0,412,412
622,nts202300006702,work,412,707,295
623,nts202300006702,visit,707,820,113
624,nts202300006702,other,820,930,110
625,nts202300006702,home,930,1440,510
626,nts202300006703,home,0,880,880
627,nts202300006703,medical,880,932,52
628,nts202300006703,work,932,1332,400
629,nts202300006703,home,1332,1440,108
630,nts202300006801,home,0,1440,1440
631,nts202300006802,home,0,1440,1440
632,nts202300006803,home,0,481,481
633,nts202300006803,visit,481,554,73
634,nts202300006803,work,554,959,405
635,nts202300006803,home,959,1440,481
636,nts202300006804,home,0,294,294
637,nts202300006804,visit,294,375,81
638,nts202300006804,work,375,714,339
639,nts202300006804,visit,714,764,50
640,nts202300006804,home,764,1440,676
641,nts202300006805,home,0,1440,1440
642,nts202300006806,home,0,345,345
643,nts202300006806,work,345,647,302
644,nts202300006806,home,647,1440,793
645,nts202300006901,home,0,675,675
646,nts202300006901,work,675,803,128
647,nts202300006901,visit,803,1158,355
648,nts202300006901,home,1158,1440,282
649,nts202300006902,home,0,698,698
650,nts202300006902,work,698,952,254
651,nts202300006902,home,952,1440,488
652,nts202300006903,home,0,274,274
653,nts202300006903,visit,274,635,361
654,nts202300006903,other,635,679,44
655,nts202300006903,work,679,808,129
656,nts202300006903,home,808,1440,632
657,nts202300006904,home,0,1440,1440
658,nts202300007001,home,0,537,537
659,nts202300007001,work,537,686,149
660,nts202300007001,other,686,1053,367
661,nts202300007001,home,1053,1440,387
662,nts202300007002,home,0,534,534
663,nts202300007002,visit,534,854,320
664,nts202300007002,work,854,1068,214
665,nts202300007002,home,1068,1440,372
666,nts202300007003,home,0,1440,1440
667,nts202300007201,home,0,651,651
668,nts202300007201,medical,651,680,29
669,nts202300007201,visit,680,781,101
670,nts202300007201,home,781,1440,659
671,nts202300007202,home,0,437,437
672,nts202300007202,work,437,524,87
673,nts202300007202,home,524,1440,916
674,nts202300007203,home,0,622,622
675,nts202300007203,work,622,737,115
676,nts202300007203,home,737,1440,703
677,nts202300007204,home,0,418,418
678,nts202300007204,work,418,666,248
679,nts202300007204,home,666,1440,774
680,nts202300007205,home,0,1440,1440
681,nts202300007301,home,0,1440,1440
682,nts202300007302,home,0,358,358
683,nts202300007302,work,358,750,392
684,nts202300007302,escort,750,763,13
685,nts202300007302,home,763,1440,677
686,nts202300008101,home,0,512,512
687,nts202300008101,work,512,1037,525
688,nts202300008101,home,1037,1440,403
689,nts202300008102,home,0,571,571
690,nts202300008102,shop,571,623,52
691,nts202300008102,home,623,1440,817
692,nts202300008103,home,0,413,413
693,nts202300008103,work,413,772,359
694,nts202300008103,home,772,1440,668
695,nts202300008104,home,0,432,432
696,nts202300008104,work,432,772,340
697,nts202300008104,home,772,1440,668
698,nts202300008105,home,0,522,522
699,nts202300008105,work,522,794,272
700,nts202300008105,home,794,1440,646
701,nts202300008201,home,0,541,541
702,nts202300008201,work,541,1013,472
703,nts202300008201,home,1013,1440,427
704,nts202300008202,home,0,370,370
705,nts202300008202,work,370,913,543
706,nts202300008202,home,913,1440,527
707,nts202300008203,home,0,383,383
708,nts202300008203,work,383,983,600
709,nts202300008203,home,983,1440,457
710,nts202300008204,home,0,443,443
711,nts202300008204,work,443,909,466
712,nts202300008204,home,909,1440,531
713,nts202300008205,home,0,1440,1440
714,nts202300008301,home,0,535,535
715,nts202300008301,work,535,840,305
716,nts202300008301,home,840,1440,600
717,nts202300008302,home,0,735,735
718,nts202300008302,work,735,1052,317
719,nts202300008302,home,1052,1440,388
720,nts202300008303,home,0,1440,1440
721,nts202300008304,home,0,1440,1440
722,nts202300008305,home,0,1440,1440
723,nts202300008401,home,0,506,506
724,nts202300008401,work,506,936,430
725,nts202300008401,home,936,1440,504
726,nts202300008501,home,0,454,454
727,nts202300008501,work,454,1054,600
728,nts202300008501,home,1054,1440,386
729,nts202300008601,home,0,684,684
730,nts202300008601,other,684,860,176
731,nts202300008601,home,860,1440,580
732,nts202300008701,home,0,539,539
733,nts202300008701,escort,539,560,21
734,nts202300008701,home,560,1440,880
735,nts202300008702,home,0,457,457
736,nts202300008702,work,457,1057,600
737,nts202300008702,home,1057,1440,383
738,nts202300008703,home,0,451,451
739,nts202300008703,medical,451,507,56
740,nts202300008703,home,507,1440,933
741,nts202300008704,home,0,907,907
742,nts202300008704,visit,907,939,32
743,nts202300008704,home,939,1440,501
744,nts202300008801,home,0,469,469
745,nts202300008801,work,469,891,422
746,nts202300008801,home,891,1440,549
747,nts202300008802,home,0,1440,1440
748,nts202300008803,home,0,1440,1440
749,nts202300008804,home,0,461,461
750,nts202300008804,work,461,728,267
751,nts202300008804,home,728,1440,712
752,nts202300008901,home,0,516,516
753,nts202300008901,work,516,966,450
754,nts202300008901,other,966,1002,36
755,nts202300008901,shop,1002,1012,10
756,nts202300008901,home,1012,1440,428
757,nts202300008902,home,0,414,414
758,nts202300008902,work,414,663,249
759,nts202300008902,visit,663,761,98
760,nts202300008902,home,761,1440,679
761,nts202300008903,home,0,503,503
762,nts202300008903,work,503,1050,547
763,nts202300008903,home,1050,1440,390
764,nts202300008904,home,0,1440,1440
765,nts202300009201,home,0,417,417
766,nts202300009201,work,417,994,577
767,nts202300009201,home,994,1440,446
768,nts202300009202,home,0,407,407
769,nts202300009202,work,407,672,265
770,nts202300009202,home,672,1440,768
771,nts202300009203,home,0,1440,1440
772,nts202300009301,home,0,1440,1440
773,nts202300009302,home,0,469,469
774,nts202300009302,work,469,995,526
775,nts202300009302,home,995,1440,445
776,nts202300009401,home,0,384,384
777,nts202300009401,work,384,834,450
778,nts202300009401,home,834,1440,606
779,nts202300009402,home,0,1440,1440
780,nts202300009501,home,0,1440,1440
781,nts202300009506,home,0,638,638
782,nts202300009506,work,638,1020,382
783,nts202300009506,home,1020,1440,420
784,nts202300009601,home,0,1440,1440
785,nts202300009603,home,0,423,423
786,nts202300009603,work,423,663,240
